,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,wk_sold_median_base_price_byppg_log,tpr_discount_byppg,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice
2019-12-22,1,0,0,2,3.247031589596562,31.99999928474427,0.73,100.0,1.437217847165719,0.0,3.203576003145146
2019-12-29,1,0,0,3,3.247031589596562,22.8571423462459,0.73,100.0,0.9432418407272181,0.0,3.228334816134983
2020-01-05,0,0,0,3,3.247031589596562,0.0,0.0,99.59839357429718,0.8894209204753637,0.0,3.228334816134983
2020-01-12,0,0,0,3,3.247031589596562,0.0,0.0,99.59839357429718,0.90807011128781,0.0,3.220570576906913
2020-01-19,0,0,0,3,3.247031589596562,0.0,0.0,99.59839357429718,0.9250428138470844,8.617554320508923,3.220570576906913
2020-01-26,0,0,0,3,3.247031589596562,0.0,0.0,99.59839357429718,0.9316447159332168,10.20504963623824,3.220570576906913
2020-02-02,0,0,0,3,3.247031589596562,0.0,0.0,100.0,0.9589244296226834,8.43472925788059,3.220570576906913
2020-02-09,0,0,0,3,3.260529213610489,0.0,0.0,100.0,1.087281111079866,0.0,3.220570576906913
2020-02-16,0,0,0,3,3.263636996383165,0.0,0.0,99.59839357429718,1.11344768462058,0.0,3.220570576906913
2020-02-23,0,0,0,3,3.266640050433856,0.0,0.0,99.59839357429718,1.042442292082865,0.0,3.220570576906913
2020-03-01,0,0,0,3,3.266640050433856,0.0,0.0,99.59839357429718,1.167685124487037,11.62210073744755,3.220570576906913
2020-03-08,0,0,0,3,3.264954324341238,0.0,0.0,99.59839357429718,1.087883126802164,12.15099707312694,3.220570576906913
2020-03-15,0,0,0,3,3.264954324341238,27.7142858675548,0.99,99.59839357429718,1.035138275200285,6.837077281354665,3.220570576906913
2020-03-22,0,1,0,3,3.264954324341238,34.00000035762788,0.99,100.0,0.9580206543220418,0.0,3.220064035542793
2020-03-29,0,0,0,3,3.264954324341238,19.42857163293021,0.99,99.59839357429718,0.8376264713828472,0.0,3.212380612437913
2020-04-05,0,0,0,3,3.264954324341238,0.0,0.0,98.79518072289156,0.9221955899076488,8.277770562649456,3.212380612437913
2020-04-12,0,0,0,3,3.264954324341238,0.0,0.0,100.0,0.9408312111182648,8.722209390395019,3.212380612437913
2020-04-19,0,0,0,3,3.264954324341238,0.0,0.0,100.0,0.9445399254326596,9.672769345050835,3.212380612437913
2020-04-26,0,0,0,3,3.264954324341238,25.14285719394684,1.0,100.0,0.9528341044868488,6.51040871691283,3.212380612437913
2020-05-03,0,0,0,3,3.264954324341238,28.00000011920929,1.0,100.0,0.9511377401797212,0.0,3.203013979443212
2020-05-10,0,0,0,3,3.264954324341238,16.00000006811959,1.0,100.0,0.942901123103596,0.0,3.199278923535421
2020-05-17,0,0,0,3,3.264954324341238,0.0,0.0,100.0,0.9263982407685368,0.0,3.199278923535421
2020-05-24,0,0,0,3,3.266607837443458,0.0,0.0,100.0,0.9285709571154358,7.28798970338892,3.199278923535421
2020-05-31,0,0,1,3,3.266607837443458,0.0,0.0,100.0,0.9459715121940688,8.71510470667074,3.199278923535421
2020-06-07,0,0,0,3,3.264954324341238,0.0,0.0,100.0,0.9852919758700588,5.070580592043693,3.199278923535421
2020-06-14,0,0,0,3,3.264954324341238,0.0,0.0,100.0,0.9279827236996584,0.0,3.194679418075414
2020-06-21,0,0,0,3,3.249666225094629,0.0,0.0,100.0,0.9544068445637592,0.0,3.194386194678511
2020-06-28,0,0,0,3,3.249558213702886,0.0,0.0,100.0,1.002604477098611,0.0,3.194386194678511
2020-07-05,0,0,0,3,3.243698922521051,0.0,0.0,100.0,1.049753579607072,0.0,3.194679418075414
2020-07-12,0,0,0,3,3.243698922521051,0.0,0.0,100.0,1.005852655567318,0.0,3.194386194678511
2020-07-19,0,0,0,3,3.243698922521051,29.0,0.0,100.0,0.947246818490748,0.0,3.194386194678511
