Nielsen SKU Name,Year,PPG Name,Retailer,DATE,Level,Activity name,Mechanic,"Discount, NRV %",Weeknum,TE Off Inv,TE On Inv,COGS,GMAC,PPG,List Price Nov 2019 Price per PC,List Price July 2020 Price per PC,List_Price
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-01-10,NA,20_New Year Multibrand_20_New Year Multibrand,Single price off % discount,0.25,2,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-02-07,NA,21_SPRING MULTIBRAND,Single price off % discount,0.25,6,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-02-14,NA,21_SPRING MULTIBRAND,Single price off % discount,0.25,7,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-02-21,NA,21_SPRING MULTIBRAND,Single price off % discount,0.25,8,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-02-28,NA,21_SPRING MULTIBRAND_21_SPRING MULTIBRAND,Single price off % discount,0.25,9,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-03-07,NA,"21_SPRING MULTIBRAND_21_SPRING MULTIBRAND_21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.25,10,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-03-14,NA,"21_SPRING MULTIBRAND_21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.25,11,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-03-21,NA,"21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.25,12,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-03-28,NA,"21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.25,13,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-04-04,NA,"21_Snickers EBA, Nut Butter +BBP#1",Single price off % discount,0.25,14,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
