Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,tpr_discount_byppg,median_baseprice,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,tpr_discount_byppg_train,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,QC,wk_sold_median_base_price_byppg_log,Baseline_Prediction,Baseline_Sales,Baseline_GSV,Baseline_Trade_Expense,Baseline_NSV,Baseline_MAC,Baseline_RP
2021-08-01,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9494087174303384,0.0,3.2961429861401768,0,25,3.3344482204390498,185735.0034812574,3909196.344515165,3796423.471156901,1830464.5587356559,1965958.9124212454,1055702.6161935162,1943237.4320939195
2021-08-08,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9537982716136136,0.0,3.2961429861401768,0,0,3.3344482204390498,104137.8363497534,2922409.106550952,2128577.3749889596,658879.8406540826,1469697.534334877,959335.3546907938,1452711.572216075
2021-08-15,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9912549881923176,0.0,3.2961429861401768,0,0,3.3344482204390498,105911.97772665003,2972196.648695943,2164840.824732727,670104.8288877682,1494735.9958449588,975679.0450029346,1477460.6528509841
2021-08-22,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.060583399171539,0.0,3.2961429861401768,0,0,3.3344482204390498,109275.85485479003,3066596.7773828693,2233598.4732319084,691388.0714042049,1542210.4018277035,1006667.6498268532,1524386.3755551658
2021-08-29,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.998740887392874,0.0,3.2961429861401768,0,0,3.3344482204390498,106270.15573769913,2982248.160403375,2172161.98327857,672371.0203040487,1499790.9629745216,978978.641396681,1482457.1974288535
2021-09-05,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.037908229044993,0.0,3.2961429861401768,0,0,3.3344482204390498,108164.03981517679,3035396.0293122693,2210872.9738222137,684353.620316928,1526519.3535052857,996425.4217110733,1508876.6758069836
2021-09-12,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.98532192811704,0.0,3.2961429861401768,0,0,3.3344482204390498,105628.95621235966,2964254.2458219854,2159055.8649806315,668314.1524461047,1490741.7125345268,973071.8029637875,1473512.5332874586
2021-09-19,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9641828680549396,0.0,3.2961429861401768,0,0,3.3344482204390498,104626.70491417387,2936128.173459261,2138569.848445714,661972.9108878863,1476596.9375578277,963838.8945576138,1459531.2359014335
2021-09-26,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9753439174496024,0.0,3.2961429861401768,0,11,3.3344482204390498,187920.2593743297,3955189.7985702083,3841090.1016112994,1852000.7979423963,1989089.3036689032,1068123.4325185423,1966100.494901305
2021-10-03,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,1.046001952859095,0.0,3.2961429861401768,0,-9,3.3344482204390498,194005.10915312803,4083258.6712455875,3965464.431089937,1911968.502772169,2053495.9283177683,1102709.2225431465,2029762.7429278193
